512	3	109.22	21109	19069	
513	3	129.67	19067	21109	
514	2	133.57	19065	21042	
516	2	47.65	-1	19201	
593	3	96.55	18703	-1	
594	3	43.88	-1	18734	
595	2	22.67	18721	18719	
596	3	18.51	18721	18724	
597	3	35.3	18724	18726	
598	3	21.04	18726	18728	
599	2	23.74	18730	18732	
600	2	33.96	18732	18707	
601	2	26.86	18740	23030	
602	2	19.6	18745	18752	
691	1	77.02	19191	-1	
694	2	102.52	19191	-1	
737	3	15.93	19329	19324	
738	1	73.63	19321	19336	
739	2	26.52	19336	19341	
740	2	12.32	19341	19346	
741	2	190.49	19346	19378	
742	2	112.74	19349	19346	
743	2	264.58	19385	19349	
744	2	109.98	41674	19349	
745	1	121.18	46601	41321	
746	2	116.81	41321	41674	
747	2	103.77	20648	46592	
749	2	22.31	46592	41321	
750	2	71.6	41321	54792	
751	2	102.83	54792	19364	
752	2	199.5	19364	19418	
753	4	10.62	19411	19420	
754	4	10.54	19424	19427	
755	2	163.27	19373	19378	
756	2	156.95	19378	19385	
757	2	127.97	19385	19399	
758	2	137.09	19399	19416	
759	2	145.31	19411	19399	
760	2	140.32	19399	19385	
761	2	152.69	19385	19378	
762	2	37.75	19371	19373	
763	4	9.63	19427	19642	
764	4	15.78	19642	19411	
765	2	18.34	19416	19420	
766	4	9.93	19420	19424	
767	2	18.21	19418	19424	
768	4	98.53	-1	19642	
769	4	99.02	19427	-1	
803	3	73.03	19427	41709	
980	3	15.48	20599	20594	
981	2	23.8	20640	20620	
982	3	23.91	46611	20642	
983	4	13.21	20648	46572	
989	1	42.8	54763	46441	
990	2	25.74	46552	46539	
991	2	9.35	45884	19090	
992	4	11.85	45891	19097	
993	2	12.36	45899	19104	
994	2	10.24	45906	19111	
995	3	13	45913	19118	
996	3	11.61	45920	19125	
997	4	11.46	45926	19132	
998	3	11.69	45934	19596	
999	3	10.85	45940	19603	
1000	4	11.97	45947	20527	
1001	4	10.36	46498	20813	
1002	4	9.55	20820	46498	
1003	6	10.44	46453	20829	
1004	6	19.38	20848	20856	
1005	2	17.25	20848	20836	
1006	3	13.29	20836	20848	
1008	3	10.11	20856	20836	
1009	2	14.46	20862	20842	
1010	2	11.71	20842	20862	
1011	6	20.04	20869	20876	
1012	2	51.48	20887	20901	
1013	2	31.78	20889	20891	
1014	4	6.47	20919	20926	
1015	3	6.05	20931	20938	
1016	4	9.45	46205	20943	
1017	4	11.41	45963	20948	
1018	2	9.6	45979	20953	
1019	3	26.2	20642	20972	
1020	2	27.43	20977	46966	
1021	5	18.12	21009	20981	
1022	3	40.69	20998	21009	
1023	2	55.6	20998	21009	
1024	4	21.84	20981	20988	
1025	5	31.42	20988	20998	
1026	2	33.69	20988	20998	
1027	3	19.48	20998	21009	
1028	3	9.05	21015	21022	
1029	2	8.35	21036	21027	
1030	5	11.54	21109	21042	
1031	5	9.04	21047	41116	
1032	4	6.4	41116	21051	
1033	3	8.13	21056	21065	
1034	2	8.41	21065	21071	
1035	3	7.8	21081	21087	
1036	3	8.72	21076	21081	
1037	4	13.56	21105	21099	
1038	4	12.49	21099	21092	
1039	1	6.33	19069	19072	
1040	5	11.62	19076	21109	
1041	4	7.72	21118	21122	
1042	2	6.06	21122	21127	
1043	2	6.21	21115	21118	
1044	4	11.33	19080	46857	
1045	3	8.69	46857	19085	
1046	3	46.2	21130	21139	
1047	3	30.08	21139	21130	
1048	2	13.12	46853	21130	
1049	2	12.54	21130	21145	
1050	3	6.24	21135	21139	
1051	4	6.6	21139	21145	
1052	3	8.59	44852	21156	
1053	1	16.05	21161	44869	
1054	3	10.03	45306	21166	
1055	3	36.98	45319	21171	
1056	3	19.38	21171	45319	
1057	4	10.5	45319	21171	
1058	3	10.5	45518	21182	
1136	1	17.83	-1	44279	
1167	1	46.81	42352	-1	
1208	1	23.76	-1	43717	
1217	1	36.3	42414	-1	
1236	1	92.79	-1	21522	
1237	2	15.28	21522	21047	
1238	4	44.76	21092	-1	
1258	1	113.52	21560	21563	
1259	2	56.94	21560	46163	
1260	3	62.64	46198	21563	
1297	1	43.42	41970	-1	
1298	1	13.75	41977	-1	
1323	1	158.51	44905	44693	
1324	1	158.85	44693	44905	
1325	1	158.85	46624	44693	
1326	1	158.51	44693	46624	
1327	1	158.85	46641	46624	
1328	1	158.51	46624	46641	
1329	1	150.53	-1	46641	
1330	1	150.27	46641	-1	
1353	1	51.34	-1	43706	
1373	1	97.17	-1	42906	
1499	1	131.9	42458	-1	
1500	1	154.65	42461	-1	
1513	1	107.95	-1	42450	
1557	1	110.99	42341	-1	
1706	1	32.26	43781	-1	
1707	1	108.52	-1	43774	
1751	2	25.13	23050	18745	
1764	3	68.91	-1	23063	
1766	3	63.74	23060	-1	
1787	3	59.33	23046	19373	
1788	3	61.15	19373	23046	
1813	3	15.48	19334	21153	
1814	3	22.43	18752	23053	
1815	2	30.88	20520	19315	
1970	3	14.25	18728	18703	
1971	4	26.63	18712	23060	
1972	4	13.94	23050	23053	
1973	4	28.71	21199	23043	
1974	4	10.69	21153	21199	
1975	4	17.64	20520	21153	
1976	2	137.98	19341	23043	
1977	2	138.48	21199	19336	
1978	4	14.87	23060	23063	
1987	4	35.75	23584	23593	
1989	4	112.15	23577	23584	
1990	4	33.76	23593	23598	
1992	4	18.45	23598	23605	
1993	4	77.14	23605	20612	
2012	2	36.76	20633	23611	
2013	2	124.78	23611	23614	
2014	2	89.21	23614	21115	
2021	3	101.06	23621	21122	
2023	3	103.52	21122	23621	
2024	2	155.91	26228	20640	
2034	2	89.73	21127	23630	
2035	1	35.81	23569	-1	
2038	1	94.67	-1	23598	
2041	4	21.01	23399	23542	
2042	3	94.71	23542	23549	
2043	3	50.55	23549	23556	
2044	3	104.48	23448	23559	
2078	2	45.6	-1	23350	
2106	1	110.74	23556	-1	
2135	3	47.81	23556	23448	
2136	3	101.25	23559	26410	
2137	2	109.22	25032	-1	
2144	2	34.99	-1	23357	
2145	2	21.63	23357	23392	
2146	4	82.81	23392	23350	
2148	4	109.37	23569	23577	
2171	1	27.88	-1	23577	
2176	1	91.27	23593	-1	
2177	1	99.16	23605	-1	
2196	1	141.71	23611	-1	
2211	1	89.07	23614	-1	
2326	2	91.82	-1	23584	
2487	2	8.02	20633	25181	
2513	2	110.58	23392	23399	
2515	3	108.1	23542	23357	
2525	2	105.49	23549	-1	
2532	2	44.08	-1	23448	
2534	2	40.67	23559	-1	
2560	2	52.67	21115	-1	
2561	4	47.05	-1	21118	
2645	2	100.31	-1	23505	
2646	2	104.84	23505	25032	
2647	2	105.87	25032	26410	
2696	4	37.85	23598	19080	
2716	4	92.77	44679	23399	
2747	2	153.37	25181	-1	
2748	3	8.23	26228	23621	
2749	3	8.93	23621	23614	
3121	2	10.8	23630	26228	
3122	3	135.6	20620	46857	
3123	3	128.76	46857	20612	
3124	2	121.23	19080	20612	
3125	5	18.13	20620	20612	
3126	3	23.69	20620	20633	
3127	3	16.96	20612	20633	
3128	3	17.45	20612	20633	
3136	2	55.87	21042	21127	
3141	2	69.6	21118	19076	
3144	3	61.92	21122	21109	
3171	3	73.99	26410	19139	
3191	4	14.95	23584	23584	
3205	3	35.53	20633	20620	
6939	2	104.42	-1	19385	
6940	2	110.57	19378	-1	
6945	1	95.16	19399	-1	
6974	5	92.37	-1	19411	
7193	1	91.09	-1	19399	
7250	2	75.65	19642	-1	
7269	2	75.31	-1	19642	
7270	2	98.44	19399	-1	
7286	2	117.45	-1	19385	
7287	2	98.14	19378	-1	
7312	2	91.42	-1	19371	
7313	2	169.43	20513	-1	
7336	2	160.49	-1	18745	
7596	3	126.14	18745	-1	
7629	3	118.52	-1	18752	
7807	3	84.53	39776	46654	
7808	3	114.38	41888	41890	
8144	6	71.27	41937	40633	
8145	6	106.49	40636	46937	
8197	2	37.66	40951	44387	
8198	5	86.44	40948	40951	
8201	4	13	41113	21105	
8202	4	8.6	41125	21076	
8241	4	104.17	54815	54826	
8242	3	101.38	41623	54815	
8243	3	100.56	41628	41623	
8244	2	99.45	41633	41628	
8245	2	97.49	20349	41633	
8246	2	97.23	41643	20349	
8247	2	102.77	41653	41643	
8248	2	101.66	41666	41653	
8249	2	105.28	46601	41666	
8250	2	106.26	54806	41638	
8251	2	100	41638	54799	
8252	2	96.11	54799	41648	
8253	2	97.22	41648	41658	
8254	2	109.02	41658	19396	
8255	2	111.67	19354	19396	
8256	2	91.27	19364	19354	
8257	2	109.54	19359	19364	
8258	2	82.89	19385	19359	
8259	2	105.27	41618	41623	
8260	2	73.33	41623	54811	
8261	2	116.67	54806	41628	
8262	2	107.78	41633	41638	
8263	2	36.25	41638	54789	
8264	2	108.34	41643	46409	
8265	2	104.87	41648	41643	
8266	2	107.23	46414	41653	
8267	2	111.11	41653	41658	
8268	2	110.28	41666	46419	
8269	2	95	41691	-1	
8270	2	115	19396	41666	
8271	2	112.23	41671	54792	
8272	3	199.83	19420	19364	
8273	2	110.52	41674	41671	
8274	2	110.84	41671	19359	
8275	2	81.12	19359	19399	
8276	2	59.37	19349	20958	
