512	2
513	2
514	2
516	3
593	3
594	3
595	3
596	3
597	3
598	3
599	3
600	3
601	3
602	3
691	3
694	3
737	3
738	3
739	3
740	3
741	3
742	3
743	3
744	3
745	3
746	3
747	3
749	3
750	3
751	3
752	3
753	3
754	3
755	3
756	3
757	3
758	3
759	3
760	3
761	3
762	3
763	3
764	3
765	3
766	3
767	3
768	3
769	3
803	3
980	1
981	2
982	3
983	3
989	3
990	3
991	1
992	1
993	1
994	1
995	1
996	1
997	2
998	1
999	2
1000	1
1001	2
1002	2
1003	2
1004	2
1005	2
1006	2
1008	2
1009	2
1010	2
1011	2
1012	2
1013	2
1014	2
1015	2
1016	2
1017	2
1018	2
1019	3
1020	3
1021	2
1022	2
1023	2
1024	2
1025	2
1026	2
1027	2
1028	2
1029	2
1030	2
1031	1
1032	1
1033	1
1034	1
1035	1
1036	1
1037	1
1038	1
1039	2
1040	2
1041	2
1042	2
1043	2
1044	2
1045	2
1046	2
1047	2
1048	2
1049	2
1050	2
1051	2
1052	2
1053	3
1054	2
1055	2
1056	2
1057	2
1058	2
1136	1
1167	1
1208	1
1217	1
1236	1
1237	1
1238	1
1258	1
1259	1
1260	1
1297	1
1298	1
1323	3
1324	3
1325	3
1326	3
1327	3
1328	3
1329	3
1330	3
1353	1
1373	3
1499	3
1500	3
1513	3
1557	1
1706	3
1707	3
1751	3
1764	3
1766	3
1787	3
1788	3
1813	3
1814	3
1815	3
1970	3
1971	3
1972	3
1973	3
1974	3
1975	3
1976	3
1977	3
1978	3
1987	3
1989	3
1990	3
1992	3
1993	3
2012	2
2013	2
2014	2
2021	2
2023	2
2024	2
2034	2
2035	3
2038	3
2041	3
2042	3
2043	3
2044	3
2078	3
2106	3
2135	3
2136	3
2137	3
2144	3
2145	3
2146	3
2148	3
2171	3
2176	3
2177	3
2196	2
2211	2
2326	3
2487	2
2513	3
2515	3
2525	3
2532	3
2534	3
2560	2
2561	2
2645	3
2646	3
2647	3
2696	3
2716	3
2747	2
2748	2
2749	2
3121	2
3122	2
3123	2
3124	2
3125	2
3126	2
3127	2
3128	2
3136	2
3141	2
3144	2
3171	3
3191	3
3205	2
6939	3
6940	3
6945	3
6974	3
7193	3
7250	3
7269	3
7270	3
7286	3
7287	3
7312	3
7313	3
7336	3
7596	3
7629	3
7807	3
7808	1
8144	1
8145	1
8197	1
8198	1
8201	1
8202	1
8241	3
8242	3
8243	3
8244	3
8245	3
8246	3
8247	3
8248	3
8249	3
8250	3
8251	3
8252	3
8253	3
8254	3
8255	3
8256	3
8257	3
8258	3
8259	3
8260	3
8261	3
8262	3
8263	3
8264	3
8265	3
8266	3
8267	3
8268	3
8269	3
8270	3
8271	3
8272	3
8273	3
8274	3
8275	3
8276	3
8277	3
8278	3
8279	3
8280	3
8281	3
8282	3
8283	3
8284	3
8285	3
8286	3
8292	3
8293	3
8294	3
8295	3
8296	3
8297	3
8298	3
8299	3
8300	3
8301	3
8302	3
8313	3
8316	3
8319	3
8322	3
8325	3
8326	3
8338	1
8342	1
8343	1
8344	1
8345	1
8346	1
8348	1
8349	1
8350	1
8352	1
8353	1
8354	1
8355	1
8356	1
8357	1
8358	1
8359	1
8428	1
8430	1
8433	1
8435	1
8436	1
8437	1
8438	1
8439	1
8441	1
8443	1
8445	1
8447	1
8448	1
8449	1
8450	1
8452	1
8454	1
8455	1
8456	1
8457	1
8458	2
8459	2
8460	2
8462	2
8464	3
8465	3
8466	3
8468	3
8469	3
8471	3
8472	3
8473	3
8475	3
8476	3
8477	3
8479	3
8481	3
8482	3
8483	3
8485	3
8486	3
8487	3
8489	3
8490	3
8491	3
8492	3
8494	3
8497	3
8498	3
8499	3
8520	3
8521	3
8597	1
8598	1
8622	1
8623	1
8625	1
8627	1
8679	3
8681	2
8707	3
8708	3
8710	3
8711	3
8756	2
8764	3
8765	3
8769	3
8770	3
8773	3
8774	1
8778	1
8779	1
8780	1
8781	1
8782	1
8784	1
8785	1
8805	1
8810	3
8878	1
8880	1
8888	3
8889	3
8900	3
8906	3
8907	3
8946	1
9019	1
9026	1
9029	1
9035	1
9050	3
9054	2
9055	3
9059	3
9071	2
9072	2
9073	3
9284	1
9285	1
9288	1
9289	1
9290	1
9291	1
9292	1
9293	1
9294	1
9296	2
9297	2
9298	2
9299	1
9300	1
9301	1
9302	1
9303	2
9304	2
9305	2
9306	2
9307	1
9308	1
9309	1
9310	1
